Source Name	Material Type	Term Source REF	Characteristics[OrganismPart]	Term Source REF	Characteristics[Organism]	Characteristics[DiseaseState]	Term Source REF	Characteristics[ClinicalInformation]	Characteristics[BioSourceProvider]	Description	Protocol REF	Sample Name	Material Type	Term Source REF	Protocol REF	Protocol REF	Extract Name	Material Type	Term Source REF	Protocol REF	Labeled Extract Name	Label	Term Source REF	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[DISEASESTATE]	Term Source REF	Factor Value[CELLLINE]	Factor Value[CLINICALINFORMATION]	Factor Value[BIOSOURCEPROVIDER]	Factor Value[ORGANISMPART]	Term Source REF
REC1 - Replicate 1	Cell	The MGED Ontology	Hematopoietic and Lymphatic System	NCI Thesaurus	Homo sapiens	B-Cell Neoplasm	NCI Thesaurus	ICDO: 42	DSMZ	CatalogNumber: ACC 584	P-MTAB-1063	REC1 - Replicate 1	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	REC1-Replicate 1	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 715.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 715	A-AFFY-44	P-MTAB-1068	REC-1 _SS392705_HG-U133_Plus_2_HCHP-186879_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.18.zip	P-MTAB-1069	REC-1 _SS392705_HG-U133_Plus_2_HCHP-186879_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.3.zip	B-Cell Neoplasm	NCI Thesaurus	REC1	ICDO: 42	DSMZ	Hematopoietic and Lymphatic System	NCI Thesaurus
REC1 - Replicate 3	Cell	The MGED Ontology	Hematopoietic and Lymphatic System	NCI Thesaurus	Homo sapiens	B-Cell Neoplasm	NCI Thesaurus	ICDO: 42	DSMZ	CatalogNumber: ACC 584	P-MTAB-1063	REC1 - Replicate 3	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	REC1-Replicate 3	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 716.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 716	A-AFFY-44	P-MTAB-1068	REC-1 _SS392706_HG-U133_Plus_2_HCHP-186880_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.18.zip	P-MTAB-1069	REC-1 _SS392706_HG-U133_Plus_2_HCHP-186880_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.3.zip	B-Cell Neoplasm	NCI Thesaurus	REC1	ICDO: 42	DSMZ	Hematopoietic and Lymphatic System	NCI Thesaurus
REC1 - Replicate 2	Cell	The MGED Ontology	Hematopoietic and Lymphatic System	NCI Thesaurus	Homo sapiens	B-Cell Neoplasm	NCI Thesaurus	ICDO: 42	DSMZ	CatalogNumber: ACC 584	P-MTAB-1063	REC1 - Replicate 2	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	REC1-Replicate 2	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 717.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 717	A-AFFY-44	P-MTAB-1068	REC-1 _SS392707_HG-U133_Plus_2_HCHP-186881_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.18.zip	P-MTAB-1069	REC-1 _SS392707_HG-U133_Plus_2_HCHP-186881_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.3.zip	B-Cell Neoplasm	NCI Thesaurus	REC1	ICDO: 42	DSMZ	Hematopoietic and Lymphatic System	NCI Thesaurus
RKOE6 - Replicate 3	Cell	The MGED Ontology	Colon	NCI Thesaurus	Homo sapiens	Colon Carcinoma	NCI Thesaurus	ICDO: 18	ATCC	CatalogNumber: CRL-2578	P-MTAB-1063	RKOE6 - Replicate 3	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	RKOE6-Replicate 3	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 718.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 718	A-AFFY-44	P-MTAB-1068	RKO-E6_SS125525_HG-U133_Plus_2_HCHP-91430_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.18.zip	P-MTAB-1069	RKO-E6_SS125525_HG-U133_Plus_2_HCHP-91430_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.3.zip	Colon Carcinoma	NCI Thesaurus	RKOE6	ICDO: 18	ATCC	Colon	NCI Thesaurus
RKOE6 - Replicate 2	Cell	The MGED Ontology	Colon	NCI Thesaurus	Homo sapiens	Colon Carcinoma	NCI Thesaurus	ICDO: 18	ATCC	CatalogNumber: CRL-2578	P-MTAB-1063	RKOE6 - Replicate 2	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	RKOE6-Replicate 2	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 719.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 719	A-AFFY-44	P-MTAB-1068	RKO-E6_SS125526_HG-U133_Plus_2_HCHP-91431_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.18.zip	P-MTAB-1069	RKO-E6_SS125526_HG-U133_Plus_2_HCHP-91431_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.3.zip	Colon Carcinoma	NCI Thesaurus	RKOE6	ICDO: 18	ATCC	Colon	NCI Thesaurus
RKOE6 - Replicate 1	Cell	The MGED Ontology	Colon	NCI Thesaurus	Homo sapiens	Colon Carcinoma	NCI Thesaurus	ICDO: 18	ATCC	CatalogNumber: CRL-2578	P-MTAB-1063	RKOE6 - Replicate 1	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	RKOE6-Replicate 1	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 720.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 720	A-AFFY-44	P-MTAB-1068	RKO-E6_SS125527_HG-U133_Plus_2_HCHP-91432_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.19.zip	P-MTAB-1069	RKO-E6_SS125527_HG-U133_Plus_2_HCHP-91432_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.3.zip	Colon Carcinoma	NCI Thesaurus	RKOE6	ICDO: 18	ATCC	Colon	NCI Thesaurus
RL - Replicate 3	Cell	The MGED Ontology	Hematopoietic and Lymphatic System	NCI Thesaurus	Homo sapiens	Non-Hodgkin Lymphoma	NCI Thesaurus	ICDO: 42	ATCC	CatalogNumber: CRL-2261	P-MTAB-1063	RL - Replicate 3	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	RL-Replicate 3	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 721.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 721	A-AFFY-44	P-MTAB-1068	RL_SS287013_HG-U133_Plus_2_HCHP-165511_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.19.zip	P-MTAB-1069	RL_SS287013_HG-U133_Plus_2_HCHP-165511_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.3.zip	Non-Hodgkin Lymphoma	NCI Thesaurus	RL	ICDO: 42	ATCC	Hematopoietic and Lymphatic System	NCI Thesaurus
RL - Replicate 2	Cell	The MGED Ontology	Hematopoietic and Lymphatic System	NCI Thesaurus	Homo sapiens	Non-Hodgkin Lymphoma	NCI Thesaurus	ICDO: 42	ATCC	CatalogNumber: CRL-2261	P-MTAB-1063	RL - Replicate 2	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	RL-Replicate 2	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 722.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 722	A-AFFY-44	P-MTAB-1068	RL_SS287014_HG-U133_Plus_2_HCHP-165512_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.19.zip	P-MTAB-1069	RL_SS287014_HG-U133_Plus_2_HCHP-165512_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.3.zip	Non-Hodgkin Lymphoma	NCI Thesaurus	RL	ICDO: 42	ATCC	Hematopoietic and Lymphatic System	NCI Thesaurus
RL - Replicate 1	Cell	The MGED Ontology	Hematopoietic and Lymphatic System	NCI Thesaurus	Homo sapiens	Non-Hodgkin Lymphoma	NCI Thesaurus	ICDO: 42	ATCC	CatalogNumber: CRL-2261	P-MTAB-1063	RL - Replicate 1	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	RL-Replicate 1	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 723.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 723	A-AFFY-44	P-MTAB-1068	RL_SS287015_HG-U133_Plus_2_HCHP-165513_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.19.zip	P-MTAB-1069	RL_SS287015_HG-U133_Plus_2_HCHP-165513_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.3.zip	Non-Hodgkin Lymphoma	NCI Thesaurus	RL	ICDO: 42	ATCC	Hematopoietic and Lymphatic System	NCI Thesaurus
RL952 - Replicate 1	Cell	The MGED Ontology	Uterus	NCI Thesaurus	Homo sapiens	Carcinoma	NCI Thesaurus	ICDO: 55	ATCC	CatalogNumber: CRL-1671	P-MTAB-1063	RL952 - Replicate 1	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	RL952-Replicate 1	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 724.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 724	A-AFFY-44	P-MTAB-1068	RL95-2_SS331413_HG-U133_Plus_2_HCHP-174037_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.19.zip	P-MTAB-1069	RL95-2_SS331413_HG-U133_Plus_2_HCHP-174037_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.3.zip	Carcinoma	NCI Thesaurus	RL952	ICDO: 55	ATCC	Uterus	NCI Thesaurus
RL952 - Replicate 3	Cell	The MGED Ontology	Uterus	NCI Thesaurus	Homo sapiens	Carcinoma	NCI Thesaurus	ICDO: 55	ATCC	CatalogNumber: CRL-1671	P-MTAB-1063	RL952 - Replicate 3	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	RL952-Replicate 3	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 725.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 725	A-AFFY-44	P-MTAB-1068	RL95-2_SS331414_HG-U133_Plus_2_HCHP-174035_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.19.zip	P-MTAB-1069	RL95-2_SS331414_HG-U133_Plus_2_HCHP-174035_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.3.zip	Carcinoma	NCI Thesaurus	RL952	ICDO: 55	ATCC	Uterus	NCI Thesaurus
RL952 - Replicate 2	Cell	The MGED Ontology	Uterus	NCI Thesaurus	Homo sapiens	Carcinoma	NCI Thesaurus	ICDO: 55	ATCC	CatalogNumber: CRL-1671	P-MTAB-1063	RL952 - Replicate 2	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	RL952-Replicate 2	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 726.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 726	A-AFFY-44	P-MTAB-1068	RL95-2_SS331415_HG-U133_Plus_2_HCHP-174036_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.19.zip	P-MTAB-1069	RL95-2_SS331415_HG-U133_Plus_2_HCHP-174036_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.3.zip	Carcinoma	NCI Thesaurus	RL952	ICDO: 55	ATCC	Uterus	NCI Thesaurus
RPMI6666 - Replicate 1	Cell	The MGED Ontology	Hematopoietic and Lymphatic System	NCI Thesaurus	Homo sapiens	Hodgkin Lymphoma	NCI Thesaurus	ICDO: 42	ATCC	CatalogNumber: CCL-113	P-MTAB-1063	RPMI6666 - Replicate 1	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	RPMI6666-Replicate 1	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 727.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 727	A-AFFY-44	P-MTAB-1068	RPMI_6666_SS331417_HG-U133_Plus_2_HCHP-172171_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.19.zip	P-MTAB-1069	RPMI_6666_SS331417_HG-U133_Plus_2_HCHP-172171_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.3.zip	Hodgkin Lymphoma	NCI Thesaurus	RPMI6666	ICDO: 42	ATCC	Hematopoietic and Lymphatic System	NCI Thesaurus
RPMI6666 - Replicate 2	Cell	The MGED Ontology	Hematopoietic and Lymphatic System	NCI Thesaurus	Homo sapiens	Hodgkin Lymphoma	NCI Thesaurus	ICDO: 42	ATCC	CatalogNumber: CCL-113	P-MTAB-1063	RPMI6666 - Replicate 2	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	RPMI6666-Replicate 2	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 728.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 728	A-AFFY-44	P-MTAB-1068	RPMI_6666_SS331418_HG-U133_Plus_2_HCHP-172172_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.19.zip	P-MTAB-1069	RPMI_6666_SS331418_HG-U133_Plus_2_HCHP-172172_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.3.zip	Hodgkin Lymphoma	NCI Thesaurus	RPMI6666	ICDO: 42	ATCC	Hematopoietic and Lymphatic System	NCI Thesaurus
RPMI6666 - Replicate 3	Cell	The MGED Ontology	Hematopoietic and Lymphatic System	NCI Thesaurus	Homo sapiens	Hodgkin Lymphoma	NCI Thesaurus	ICDO: 42	ATCC	CatalogNumber: CCL-113	P-MTAB-1063	RPMI6666 - Replicate 3	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	RPMI6666-Replicate 3	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 729.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 729	A-AFFY-44	P-MTAB-1068	RPMI_6666_SS331419_HG-U133_Plus_2_HCHP-172173_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.19.zip	P-MTAB-1069	RPMI_6666_SS331419_HG-U133_Plus_2_HCHP-172173_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.3.zip	Hodgkin Lymphoma	NCI Thesaurus	RPMI6666	ICDO: 42	ATCC	Hematopoietic and Lymphatic System	NCI Thesaurus
RPMI8226 - Replicate 3	Cell	The MGED Ontology	Hematopoietic and Lymphatic System	NCI Thesaurus	Homo sapiens	Myeloma	NCI Thesaurus	ICDO: 42	ATCC	CatalogNumber: CCL-155	P-MTAB-1063	RPMI8226 - Replicate 3	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	RPMI8226-Replicate 3	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 730.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 730	A-AFFY-44	P-MTAB-1068	RPMI-8226_myeloma_SS117215_HG-U133_Plus_2_HCHP-77208_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.19.zip	P-MTAB-1069	RPMI-8226_myeloma_SS117215_HG-U133_Plus_2_HCHP-77208_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.3.zip	Myeloma	NCI Thesaurus	RPMI8226	ICDO: 42	ATCC	Hematopoietic and Lymphatic System	NCI Thesaurus
RPMI8226 - Replicate 2	Cell	The MGED Ontology	Hematopoietic and Lymphatic System	NCI Thesaurus	Homo sapiens	Myeloma	NCI Thesaurus	ICDO: 42	ATCC	CatalogNumber: CCL-155	P-MTAB-1063	RPMI8226 - Replicate 2	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	RPMI8226-Replicate 2	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 731.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 731	A-AFFY-44	P-MTAB-1068	RPMI-8226_myeloma_SS117216_HG-U133_Plus_2_HCHP-77209_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.19.zip	P-MTAB-1069	RPMI-8226_myeloma_SS117216_HG-U133_Plus_2_HCHP-77209_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.3.zip	Myeloma	NCI Thesaurus	RPMI8226	ICDO: 42	ATCC	Hematopoietic and Lymphatic System	NCI Thesaurus
RPMI8226 - Replicate 1	Cell	The MGED Ontology	Hematopoietic and Lymphatic System	NCI Thesaurus	Homo sapiens	Myeloma	NCI Thesaurus	ICDO: 42	ATCC	CatalogNumber: CCL-155	P-MTAB-1063	RPMI8226 - Replicate 1	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	RPMI8226-Replicate 1	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 732.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 732	A-AFFY-44	P-MTAB-1068	RPMI-8226_myeloma_SS117217_HG-U133_Plus_2_HCHP-77210_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.19.zip	P-MTAB-1069	RPMI-8226_myeloma_SS117217_HG-U133_Plus_2_HCHP-77210_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.3.zip	Myeloma	NCI Thesaurus	RPMI8226	ICDO: 42	ATCC	Hematopoietic and Lymphatic System	NCI Thesaurus
RWPE1 - Replicate 3	Cell	The MGED Ontology	Prostate	NCI Thesaurus	Homo sapiens	Carcinoma	NCI Thesaurus	ICDO: 61	ATCC	CatalogNumber: CRL-11609	P-MTAB-1063	RWPE1 - Replicate 3	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	RWPE1-Replicate 3	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 733.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 733	A-AFFY-44	P-MTAB-1068	RWPE-1_SS335941_HG-U133_Plus_2_HCHP-170337_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.19.zip	P-MTAB-1069	RWPE-1_SS335941_HG-U133_Plus_2_HCHP-170337_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.3.zip	Carcinoma	NCI Thesaurus	RWPE1	ICDO: 61	ATCC	Prostate	NCI Thesaurus
RWPE1 - Replicate 2	Cell	The MGED Ontology	Prostate	NCI Thesaurus	Homo sapiens	Carcinoma	NCI Thesaurus	ICDO: 61	ATCC	CatalogNumber: CRL-11609	P-MTAB-1063	RWPE1 - Replicate 2	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	RWPE1-Replicate 2	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 734.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 734	A-AFFY-44	P-MTAB-1068	RWPE-1_SS335942_HG-U133_Plus_2_HCHP-170338_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.19.zip	P-MTAB-1069	RWPE-1_SS335942_HG-U133_Plus_2_HCHP-170338_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.3.zip	Carcinoma	NCI Thesaurus	RWPE1	ICDO: 61	ATCC	Prostate	NCI Thesaurus
RWPE1 - Replicate 1	Cell	The MGED Ontology	Prostate	NCI Thesaurus	Homo sapiens	Carcinoma	NCI Thesaurus	ICDO: 61	ATCC	CatalogNumber: CRL-11609	P-MTAB-1063	RWPE1 - Replicate 1	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	RWPE1-Replicate 1	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 735.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 735	A-AFFY-44	P-MTAB-1068	RWPE-1_SS335943_HG-U133_Plus_2_HCHP-170339_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.19.zip	P-MTAB-1069	RWPE-1_SS335943_HG-U133_Plus_2_HCHP-170339_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.3.zip	Carcinoma	NCI Thesaurus	RWPE1	ICDO: 61	ATCC	Prostate	NCI Thesaurus
SCaBER - Replicate 3	Cell	The MGED Ontology	Bladder	NCI Thesaurus	Homo sapiens	Squamous Cell Carcinoma	NCI Thesaurus	ICDO: 67	ATCC	CatalogNumber: HTB-3	P-MTAB-1063	SCaBER - Replicate 3	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	SCaBER-Replicate 3	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 736.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 736	A-AFFY-44	P-MTAB-1068	SCaBER_SS268301_HG-U133_Plus_2_HCHP-168784_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.19.zip	P-MTAB-1069	SCaBER_SS268301_HG-U133_Plus_2_HCHP-168784_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.3.zip	Squamous Cell Carcinoma	NCI Thesaurus	SCaBER	ICDO: 67	ATCC	Bladder	NCI Thesaurus
SCaBER - Replicate 2	Cell	The MGED Ontology	Bladder	NCI Thesaurus	Homo sapiens	Squamous Cell Carcinoma	NCI Thesaurus	ICDO: 67	ATCC	CatalogNumber: HTB-3	P-MTAB-1063	SCaBER - Replicate 2	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	SCaBER-Replicate 2	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 737.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 737	A-AFFY-44	P-MTAB-1068	SCaBER_SS268302_HG-U133_Plus_2_HCHP-168785_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.19.zip	P-MTAB-1069	SCaBER_SS268302_HG-U133_Plus_2_HCHP-168785_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.3.zip	Squamous Cell Carcinoma	NCI Thesaurus	SCaBER	ICDO: 67	ATCC	Bladder	NCI Thesaurus
SCaBER - Replicate 1	Cell	The MGED Ontology	Bladder	NCI Thesaurus	Homo sapiens	Squamous Cell Carcinoma	NCI Thesaurus	ICDO: 67	ATCC	CatalogNumber: HTB-3	P-MTAB-1063	SCaBER - Replicate 1	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	SCaBER-Replicate 1	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 738.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 738	A-AFFY-44	P-MTAB-1068	SCaBER_SS268303_HG-U133_Plus_2_HCHP-168786_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.19.zip	P-MTAB-1069	SCaBER_SS268303_HG-U133_Plus_2_HCHP-168786_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.3.zip	Squamous Cell Carcinoma	NCI Thesaurus	SCaBER	ICDO: 67	ATCC	Bladder	NCI Thesaurus
SEM - Replicate 1	Cell	The MGED Ontology	Hematopoietic and Lymphatic System	NCI Thesaurus	Homo sapiens	Acute Lymphoblastic Leukemia	NCI Thesaurus	ICDO: 42	DSMZ	CatalogNumber: ACC 546	P-MTAB-1063	SEM - Replicate 1	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	SEM-Replicate 1	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 739.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 739	A-AFFY-44	P-MTAB-1068	SEM _SS392713_HG-U133_Plus_2_HCHP-201530_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.19.zip	P-MTAB-1069	SEM _SS392713_HG-U133_Plus_2_HCHP-201530_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.3.zip	Acute Lymphoblastic Leukemia	NCI Thesaurus	SEM	ICDO: 42	DSMZ	Hematopoietic and Lymphatic System	NCI Thesaurus
